NAME                        VERSION                 TYPE                    
Simple Launcher             1.1.0.14                dotnet  (+5 duplicates)  
aioesphomeapi               24.6.2                  python                   
aiohappyeyeballs            2.4.3                   python                   
ajsonrpc                    1.2.0                   python                   
alpine-baselayout           3.4.3-r1                apk                      
alpine-baselayout-data      3.4.3-r1                apk                      
alpine-keys                 2.4-r1                  apk                      
alpine-release              3.18.7-r0               apk                      
anyio                       4.6.2.post1             python                   
apk-tools                   2.14.4-r0               apk                      
argcomplete                 3.5.1                   python                   
async-interrupt             1.2.0                   python                   
autocommand                 2.2.2                   python                   
backports-tarfile           1.2.0                   python                   
bash                        5.2.15-r5               apk                      
bitarray                    2.9.3                   python                   
bitstring                   4.2.3                   python                   
bottle                      0.12.25                 python                   
brotli-libs                 1.0.9-r14               apk                      
busybox                     1.36.1-r7               apk                      
busybox-binsh               1.36.1-r7               apk                      
ca-certificates             20240226-r0             apk                      
ca-certificates-bundle      20240226-r0             apk                      
cairocffi                   1.7.1                   python                   
cairosvg                    2.7.1                   python                   
catatonit                   0.1.7-r0                apk                      
certifi                     2024.8.30               python                   
cffi                        1.17.1                  python                   
chacha20poly1305-reuseable  0.13.2                  python                   
charset-normalizer          3.4.0                   python                   
click                       8.1.7                   python                   
colorama                    0.4.6                   python                   
coreutils                   9.3-r2                  apk                      
cryptography                43.0.0                  python                   
cssselect2                  0.7.0                   python                   
curl                        8.5.0-r0                apk                      
defusedxml                  0.7.1                   python                   
ecdsa                       0.19.0                  python                   
esphome                     2024.10.3               python                   
esphome-dashboard           20240620.0              python                   
esptool                     4.7.0                   python                   
findutils                   4.9.0-r5                apk                      
gcompat                     1.1.0-r1                apk                      
gdbm                        1.23-r1                 apk                      
git                         2.40.3-r0               apk                      
h11                         0.14.0                  python                   
icmplib                     3.0.4                   python                   
idna                        3.10                    python                   
ifaddr                      0.2.0                   python                   
importlib-metadata          8.0.0                   python                   
importlib-resources         6.4.0                   python                   
inflect                     7.3.1                   python                   
intelhex                    2.3.0                   python                   
iputils                     20221126-r2             apk                      
iputils-arping              20221126-r2             apk                      
iputils-clockdiff           20221126-r2             apk                      
iputils-ping                20221126-r2             apk                      
iputils-tracepath           20221126-r2             apk                      
jaraco-collections          5.1.0                   python                   
